date,country_code,country_name,total_cases,total_deaths,total_recoveries
2020-01-21,USA,United States,1,0,0
2020-01-22,USA,United States,1,0,0
2020-01-23,USA,United States,1,0,0
2020-01-24,USA,United States,2,0,0
2020-01-25,USA,United States,3,0,0
2020-01-26,USA,United States,5,0,0
2020-01-27,USA,United States,5,0,0
2020-01-28,USA,United States,5,0,0
2020-01-29,USA,United States,5,0,0
2020-01-30,USA,United States,6,0,0
2020-01-31,USA,United States,7,0,0
2020-02-01,USA,United States,8,0,0
2020-02-02,USA,United States,11,0,0
2020-02-03,USA,United States,11,0,0
2020-02-04,USA,United States,11,0,0
2020-02-05,USA,United States,12,0,0
2020-02-06,USA,United States,12,0,0
2020-02-07,USA,United States,12,0,0
2020-02-08,USA,United States,12,0,0
2020-02-09,USA,United States,12,0,0
2020-02-10,USA,United States,12,0,0
2020-02-11,USA,United States,12,0,0
2020-02-12,USA,United States,12,0,0
2020-02-13,USA,United States,12,0,0
2020-02-14,USA,United States,12,0,0
2020-02-15,USA,United States,12,0,0
2020-02-16,USA,United States,12,0,0
2020-02-17,USA,United States,12,0,0
2020-02-18,USA,United States,12,0,0
2020-02-19,USA,United States,12,0,0
2020-02-20,USA,United States,14,0,0
2020-02-21,USA,United States,20,2,0
2020-02-22,USA,United States,20,2,0
2020-02-23,USA,United States,20,2,0
2020-02-24,USA,United States,20,2,0
2020-02-25,USA,United States,20,2,0
2020-02-26,USA,United States,15,0,0
2020-02-27,USA,United States,15,0,0
2020-02-28,USA,United States,19,0,0
2020-02-29,USA,United States,24,1,0
2020-03-01,USA,United States,42,2,0
2020-03-02,USA,United States,57,6,0
2020-03-03,USA,United States,85,9,0
2020-03-04,USA,United States,111,12,0
2020-03-05,USA,United States,175,12,0
2020-03-06,USA,United States,252,18,0
2020-03-07,USA,United States,353,19,0
2020-03-08,USA,United States,497,22,0
2020-03-09,USA,United States,645,26,0
2020-03-10,USA,United States,936,31,0
2020-03-11,USA,United States,1205,38,0
2020-03-12,USA,United States,1598,42,0
2020-03-13,USA,United States,2163,49,0
2020-03-14,USA,United States,2825,56,0
2020-03-15,USA,United States,3497,62,0
2020-03-16,USA,United States,4372,75,0
2020-03-17,USA,United States,5656,96,0
2020-03-18,USA,United States,8074,122,0
2020-03-19,USA,United States,12018,172,0
2020-03-20,USA,United States,17438,229,0
2020-03-21,USA,United States,23709,294,0
2020-03-22,USA,United States,33546,419,0
